, Emotion, Text
394,puas, Pelayanan tata usaha kampus sangat memuaskan dan ramah.
395,senang, Sayasenang dengan layanan yang cepat dan efisien dari tata usaha kampus.
396,biasa saja, Pelayanan tata usaha kampus standar saj tidak ada yang luar biasa.
397,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
398,kecewa, Sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
399,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
400,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
401,puas, Saya merasa sangatpuas dengan pelayanan tata usaha kampus yang ramah dan profesional.
402,senang, Layanan tata usaha kampus membuat saya merasasenang dan terbantu.
403,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
404,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap pertanyaan saya.
405,kecewa, Saya sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan kurang informatif.
406,puas, Pelayanan tata usaha kampus telah memenuhi harapan saya dengan baik.
407,senang, Sayasenang dengan keramahan dan keramahan staf tata usaha kampus.
408,biasa saja, Pelayanan tata usaha kampus standar dan tidak terlalu mencolok.
409,kesal, Tata usaha kampus sering membuat sayakesal dengan keputusan administratif mereka.
410,kecewa, Saya merasa kecewa  dengan pelayanan lambat dan kurang profesional dari tata usaha kampus.
411,puas, Pelayanan tata usaha kampus telah melampaui harapan saya dan sangat membantu.
412,senang, Saya sangatsenang dengan kecepatan dan efisiensi pelayanan tata usaha kampus.
413,biasa saja, Pelayanan tata usaha kampus cukup standar dan tidak terlalu menonjol.
414,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses pendaftaran mahasiswa baru.
415,kecewa, Saya merasa sangatkecewa dengan pelayanan tata usaha kampus yang tidak memadai.
416,puas, Pelayanan tata usaha kampus sungguh memuaskan mereka sangat responsif terhadap pertanyaan dan permintaan saya.
417,senang, Saya merasasenang dan lega dengan bantuan yang diberikan oleh staf tata usaha kampus.
418,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang menonjol atau buruk.
419,kesal, Sayakesal karena tata usaha kampus sering terlambat memberikan informasi penting.
420,kecewa, Saya sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak membantu.
421,puas, Pelayanan tata usaha kampus sangat baik dan membantu dalam menyelesaikan masalah saya.
422,senang, Sayasenang dengan sikap ramah dan profesionalitas staf tata usaha kampus.
423,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
424,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
425,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
426,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
427,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
428,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
429,kesal, Sayakesal karena tata usaha kampus sering membuatkesalahan dalam proses administrasi.
430,kecewa, Saya sangatkecewa dengan pelayanan tata usaha kampus yang lambat dan tidak efektif.
431,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan cepat untuk setiap masalah.
432,senang, Sayasenang dengan tingkat responsivitas dan kesigapan staf tata usaha kampus dalam membantu mahasiswa.
433,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang terlalu menonjol dari yang lain.
434,kesal, Sayakesal karena tata usaha kampus sering mengalami kendala teknis dalam sistem mereka.
435,kecewa, Saya sangatkecewa dengan tingkat keefektifan pelayanan tata usaha kampus yang kurang memuaskan.
436,puas, Pelayanan tata usaha kampus sangat membantu dan menyediakan solusi yang baik untuk setiap permasalahan.
437,senang, Saya merasasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
438,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
439,kesal, Sayakesal dengan ketidakefisienan sistem tata usaha kampus yang membuat proses menjadi lambat.
440,kecewa, Saya merasa kecewa  dengan tingkat komunikasi yang buruk dari tata usaha kampus.
441,puas, Pelayanan tata usaha kampus sangat baik mereka memberikan respon yang cepat dan tepat.
442,senang, Sayasenang dengan pelayanan yang ramah dan mendukung dari tata usaha kampus.
443,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang terlalu menonjol.
444,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
445,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
446,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
447,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
448,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
449,kesal, Sayakesal karena tata usaha kampus sering memperlambat proses administrasi.
450,kecewa, Saya sangatkecewa dengan tingkat responsivitas tata usaha kampus yang rendah.
451,puas, Pelayanan di tata usaha kampus sangat membantu dan memuaskan.
452,senang, Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.
453,biasa saja, Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.
454,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
455,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
456,puas, Pelayanan sangat baik dan memuaskan.
457,senang,senang dengan respons cepat dari tata usaha kampus.
458,biasa saja, Pelayanan tata usaha kampus standar saja.
459,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
460,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
461,puas, Pelayanan sangat baik dan memuaskan.
462,senang,senang dengan respons cepat dari tata usaha kampus.
463,biasa saja, Pelayanan tata usaha kampus standar saja.
464,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
465,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
466,puas, Pelayanan sangat baik dan memuaskan.
467,senang,senang dengan respons cepat dari tata usaha kampus.
468,biasa saja, Pelayanan tata usaha kampus standar saja.
469,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
470,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
471,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi dengan baik.
472,senang, Sayasenang dengan pelayanan ramah dan sigap dari staf tata usaha kampus.
473,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang terlalu menonjol.
474,kesal, Sayakesal karena tata usaha kampus seringkali tidak merespons dengan cepat.
475,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang kurang memuaskan.
476,puas, Pelayanan tata usaha kampus sangat baik dan membantu.
477,senang, Sayasenang dengan respons cepat dari tata usaha kampus.
478,biasa saja, Pelayanan tata usaha kampus standar saja.
479,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
480,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
481,puas, Pelayanan sangat baik dan memuaskan.
482,senang,senang dengan respons cepat dari tata usaha kampus.
483,biasa saja, Pelayanan tata usaha kampus standar saja.
484,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
485,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
486,puas, Pelayanan sangat baik dan memuaskan.
487,senang,senang dengan respons cepat dari tata usaha kampus.
488,biasa saja, Pelayanan tata usaha kampus standar saja.
489,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
490,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
491,puas, Pelayanan sangat baik dan memuaskan.
492,senang,senang dengan respons cepat dari tata usaha kampus.
493,biasa saja, Pelayanan tata usaha kampus standar saja.
494,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
495,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
496,puas, Pelayanan sangat baik dan memuaskan.
497,senang,senang dengan respons cepat dari tata usaha kampus.
498,biasa saja, Pelayanan tata usaha kampus standar saja.
499,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
500,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
501,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
502,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
503,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
504,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
505,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
506,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
507,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
508,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
509,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
510,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
511,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
512,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
513,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
514,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
515,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
516,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
517,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
518,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
519,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
520,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
521,puas, Pelayanan sangat baik dan memuaskan.
522,senang,senang dengan respons cepat dari tata usaha kampus.
523,biasa saja, Pelayanan tata usaha kampus standar saja.
524,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
525,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
526,puas, Pelayanan sangat baik dan memuaskan.
527,senang,senang dengan respons cepat dari tata usaha kampus.
528,biasa saja, Pelayanan tata usaha kampus standar saja.
529,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
530,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
531,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
532,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
533,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
534,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
535,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
536,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
537,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
538,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
539,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
540,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
541,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
542,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
543,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
544,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
545,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
546,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
547,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
548,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
549,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
550,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
551,puas, Pelayanan sangat baik dan memuaskan.
552,senang,senang dengan respons cepat dari tata usaha kampus.
553,biasa saja, Pelayanan tata usaha kampus standar saja.
554,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
555,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
556,puas, Pelayanan sangat baik dan memuaskan.
557,senang,senang dengan respons cepat dari tata usaha kampus.
558,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
559,puas, Pelayanan sangat baik dan memuaskan.
560,senang,senang dengan respons cepat dari tata usaha kampus.
561,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
562,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
563,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
564,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
565,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
566,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
567,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
568,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
569,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
570,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
571,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
572,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
573,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
574,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
575,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
576,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
577,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
578,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
579,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
580,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
581,puas, Pelayanan sangat baik dan memuaskan.
582,senang,senang dengan respons cepat dari tata usaha kampus.
583,biasa saja, Pelayanan tata usaha kampus standar saja.
584,kesal, Tata usaha kampus kurang responsif dan membuatkesal.
585,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
586,puas, Pelayanan sangat baik dan memuaskan.
587,senang,senang dengan respons cepat dari tata usaha
588,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat.
589,puas, Pelayanan sangat baik dan memuaskan.
590,senang,senang dengan respons cepat dari tata usaha
591,puas, Pelayanan tata usaha kampus memberikan solusi yang memuaskan dan efisien.
592,senang, Saya merasasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
593,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
594,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
595,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
596,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
597,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
598,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
